#Wave	#Intensity
1867.685547	3089.255127
1866.123047	3090.20166
1864.560547	3187.09668
1862.996094	3100.087646
1861.431641	3150.58374
1859.867188	3114.759277
1858.302734	3090.134277
1856.738281	3132.613037
1855.171875	3098.411621
1853.607422	3075.402344
1852.041016	3081.138428
1850.474609	3018.239502
1848.908203	3047.921631
1847.341797	3106.308838
1845.773438	3112.033203
1844.207031	3136.89209
1842.638672	3096.368896
1841.070313	3114.843994
1839.501953	3146.061279
1837.931641	3068.912842
1836.363281	3077.823242
1834.792969	3094.693359
1833.222656	3076.523438
1831.652344	3053.584961
1830.082031	3193.012451
1828.511719	3120.725342
1826.941406	3175.753418
1825.369141	3122.588867
1823.796875	3166.460205
1822.224609	3046.537842
1820.652344	3079.278564
1819.078125	3030.947021
1817.505859	3170.142822
1815.931641	3080.505615
1814.357422	3051.264404
1812.783203	3204.659668
1811.208984	3165.878174
1809.634766	3063.618164
1808.058594	3075.66748
1806.484375	3055.977783
1804.908203	3082.300537
1803.332031	3045.170898
1801.753906	3012.813965
1800.177734	3034.372803
1798.601563	3127.248291
1797.023438	3126.587891
1795.445313	3013.438477
1793.867188	3079.330811
1792.289063	3156.281006
1790.708984	3244.281982
1789.130859	3115.372559
1787.550781	3141.620117
1785.970703	3110.89209
1784.390625	3130.80127
1782.810547	3147.53833
1781.228516	3123.15332
1779.646484	3182.572021
1778.066406	3117.092041
1776.484375	3062.701904
1774.902344	3047.834961
1773.318359	3184.622559
1771.736328	3093.92749
1770.152344	3083.799805
1768.568359	3125.772217
1766.984375	3088.810059
1765.400391	3151.277588
1763.816406	3041.752441
1762.230469	3121.553955
1760.646484	3092.508301
1759.060547	3112.351318
1757.474609	3017.113281
1755.888672	3052.723877
1754.300781	3053.654297
1752.714844	3056.159424
1751.126953	3016.138184
1749.539063	3075.338379
1747.951172	3082.559814
1746.363281	3074.038086
1744.775391	3104.861816
1743.185547	3064.871826
1741.595703	3079.953857
1740.007813	3109.18335
1738.416016	3103.808838
1736.826172	3049.704102
1735.236328	3083.635986
1733.644531	3045.271484
1732.052734	3160.882568
1730.462891	3158.643311
1728.869141	3117.145996
1727.277344	3144.746826
1725.685547	3103.269775
1724.091797	3077.503418
1722.498047	3106.663574
1720.904297	3168.753906
1719.310547	3103.780518
1717.716797	3048.24292
1716.121094	3111.873047
1714.527344	3145.696533
1712.931641	3088.617432
1711.335938	3116.164063
1709.740234	3076.345215
