#Wave	#Intensity
1894.207031	8352.234375
1892.648438	8117.70752
1891.091797	8242.77832
1889.533203	8241.035156
1887.974609	8234.480469
1886.416016	8186.226563
1884.857422	8279.105469
1883.298828	8235.671875
1881.738281	8171.418457
1880.177734	8062.321777
1878.617188	8116.694336
1877.056641	8214.293945
1875.496094	8270.211914
1873.935547	8100.34082
1872.373047	8253.910156
1870.810547	8205.751953
1869.248047	8076.004883
1867.685547	8066.299316
1866.123047	8174.959473
1864.560547	8270.780273
1862.996094	8099.558594
1861.431641	8291.262695
1859.867188	8198.416992
1858.302734	8201.478516
1856.738281	8276.423828
1855.171875	8277.870117
1853.607422	8322.427734
1852.041016	8263.198242
1850.474609	8101.841797
1848.908203	8317.155273
1847.341797	8194.145508
1845.773438	8273.764648
1844.207031	8404.382813
1842.638672	8217.654297
1841.070313	8209.542969
1839.501953	8381.527344
1837.931641	8175.800781
1836.363281	8250.541992
1834.792969	8269.504883
1833.222656	8239.095703
1831.652344	8270.789063
1830.082031	8296.101563
1828.511719	8120.887695
1826.941406	8346.694336
1825.369141	8216.083008
1823.796875	8284.325195
1822.224609	8218.973633
1820.652344	8228.366211
1819.078125	8434.837891
1817.505859	8301.166016
1815.931641	8366.138672
1814.357422	8346.900391
1812.783203	8359.429688
1811.208984	8287.805664
1809.634766	8211.449219
1808.058594	8273.196289
1806.484375	8269.862305
1804.908203	8444.202148
1803.332031	8275.886719
1801.753906	8353.423828
1800.177734	8261.293945
1798.601563	8300.759766
1797.023438	8189.663574
1795.445313	8248.139648
1793.867188	8400.046875
1792.289063	8358.680664
1790.708984	8329.999023
1789.130859	8564.108398
1787.550781	8369.212891
1785.970703	8433.90332
1784.390625	8349.857422
1782.810547	8213.651367
1781.228516	8336.842773
1779.646484	8521.640625
1778.066406	8439.226563
1776.484375	8440.604492
1774.902344	8453.041016
1773.318359	8539.716797
1771.736328	8525.27832
1770.152344	8378.208984
1768.568359	8419.0625
1766.984375	8384.138672
1765.400391	8431.285156
1763.816406	8517.853516
1762.230469	8465.578125
1760.646484	8403.863281
1759.060547	8559.754883
1757.474609	8523.266602
1755.888672	8575.048828
1754.300781	8440.879883
1752.714844	8558.822266
1751.126953	8534.962891
1749.539063	8479.619141
1747.951172	8479.401367
1746.363281	8567.327148
1744.775391	8713.441406
1743.185547	8518.078125
1741.595703	8767.958008
1740.007813	8769.25
1738.416016	8753.244141
1736.826172	8712.092773
1735.236328	8980.579102
1733.644531	8793.260742
1732.052734	8772.548828
1730.462891	8800.536133
1728.869141	8833.222656
1727.277344	8810.943359
1725.685547	9038.25293
1724.091797	8884.113281
1722.498047	9161.519531
1720.904297	9021.536133
1719.310547	9123.138672
1717.716797	9151.000977
1716.121094	9086.356445
1714.527344	9038.979492
1712.931641	9185.933594
1711.335938	9444.061523
1709.740234	9399.769531
1708.142578	9425.967773
1706.546875	9389.526367
1704.949219	9522.160156
1703.351563	9620.306641
1701.753906	9505.609375
1700.15625	9455.100586
1698.558594	9520.351563
1696.958984	9615.285156
1695.359375	9708.614258
