#Wave	#Intensity
1837.931641	10685.425781
1836.363281	10606.701172
1834.792969	10695.248047
1833.222656	10551.265625
1831.652344	10421.671875
1830.082031	10653.455078
1828.511719	10740.324219
1826.941406	10747.602539
1825.369141	10858.273438
1823.796875	10609.470703
1822.224609	10583.379883
1820.652344	10643.143555
1819.078125	10704.47168
1817.505859	10791.198242
1815.931641	10809.572266
1814.357422	10672.27832
1812.783203	10690.668945
1811.208984	10689.999023
1809.634766	10732.1875
1808.058594	10696.59375
1806.484375	10700.681641
1804.908203	10634.967773
1803.332031	10650.167969
1801.753906	10796.974609
1800.177734	10747.133789
1798.601563	10811.43457
1797.023438	10801.228516
1795.445313	10927.279297
1793.867188	10966.15625
1792.289063	10813.390625
1790.708984	10956.774414
1789.130859	10827.819336
1787.550781	10849.272461
1785.970703	10902.363281
1784.390625	10858.928711
1782.810547	11163.480469
1781.228516	10976.104492
1779.646484	10888.412109
1778.066406	11059.986328
1776.484375	11158.791992
1774.902344	10952.613281
1773.318359	11166.714844
1771.736328	11091.706055
1770.152344	11357.793945
1768.568359	11055.446289
1766.984375	11286.705078
1765.400391	11252.759766
1763.816406	11275.625
1762.230469	11199.107422
1760.646484	11346.555664
1759.060547	11161.264648
1757.474609	11396.932617
1755.888672	11317.299805
1754.300781	11459.869141
1752.714844	11402.310547
1751.126953	11327.450195
1749.539063	11452.604492
1747.951172	11579.279297
1746.363281	11411.560547
1744.775391	11465.799805
1743.185547	11623.856445
1741.595703	11714.206055
1740.007813	11744.755859
1738.416016	11827.178711
1736.826172	11815.245117
1735.236328	12046.926758
1733.644531	12124.517578
1732.052734	12099.958984
1730.462891	12117.818359
1728.869141	12222.039063
1727.277344	12285.394531
1725.685547	12353.430664
1724.091797	12444.978516
1722.498047	12454.897461
1720.904297	12867.964844
1719.310547	12785.254883
1717.716797	12770.004883
1716.121094	12812.765625
1714.527344	12786.542969
1712.931641	12771.299805
1711.335938	12908.032227
1709.740234	12985.18457
1708.142578	12949.547852
1706.546875	12924.886719
1704.949219	12840.75
1703.351563	12906.892578
1701.753906	13184.241211
1700.15625	12987.46582
1698.558594	13102.018555
1696.958984	13189.938477
1695.359375	13534.214844
1693.759766	13437.564453
1692.160156	13620.680664
1690.560547	13567.797852
1688.960938	13744.558594
1687.359375	13782.250977
1685.757813	13958.889648
1684.15625	14152.625
1682.554688	14272.922852
1680.953125	14276.137695
1679.349609	14530.522461
1677.748047	14755.163086
1676.144531	14636.637695
1674.541016	15132.438477
1672.9375	15224.3125
1671.332031	15362.898438
1669.728516	15612.048828
1668.123047	15914.056641
1666.517578	16096.013672
1664.912109	16477.199219
1663.306641	16635.605469
1661.701172	16873.322266
1660.09375	17124.941406
1658.486328	17616.041016
1656.878906	17702.517578
1655.271484	17863.599609
1653.664063	18245.390625
1652.056641	18613.03125
1650.447266	18901.251953
1648.837891	19371.142578
1647.228516	19716.554688
1645.619141	20403.509766
1644.009766	20560.664063
1642.398438	21008.064453
1640.789063	21118.457031
1639.177734	21927.115234
1637.566406	21840.224609
1635.955078	22207.857422
1634.341797	22589.289063
1632.730469	22686.816406
1631.117188	23001.324219
1629.503906	23298.646484
1627.890625	23699.660156
1626.277344	24215.138672
1624.662109	24561.572266
1623.048828	24858.302734
1621.433594	25449.0625
1619.818359	25802.746094
1618.203125	26307.935547
1616.587891	26650.451172
1614.970703	27026.849609
1613.353516	27607.230469
1611.738281	27780.707031
1610.121094	28108.697266
1608.501953	28436.544922
1606.884766	28929.589844
1605.267578	29121.169922
1603.648438	29366.724609
1602.029297	29505.619141
1600.410156	30048.955078
1598.791016	30130.53125
1597.169922	30411.146484
1595.550781	30267.337891
1593.929688	30726.740234
1592.308594	30866.697266
1590.6875	31234.796875
1589.064453	31200.380859
1587.443359	31535.880859
1585.820313	31710.978516
1584.197266	31676.474609
1582.574219	31811.414063
1580.951172	31649.083984
1579.328125	31234.322266
1577.703125	31199.941406
1576.080078	30862.394531
1574.455078	30555.763672
1572.830078	30360.019531
1571.203125	30521.167969
1569.578125	30597.673828
1567.951172	30299.039063
1566.324219	30267.966797
1564.697266	30233.830078
1563.070313	30215.070313
1561.443359	30018.140625
1559.816406	29957.966797
1558.1875	30270.904297
1556.558594	30230.652344
1554.929688	30179.673828
1553.300781	30549.128906
1551.669922	30596.275391
1550.041016	30686.34375
1548.410156	30807.039063
1546.779297	30504.558594
1545.148438	30700.337891
1543.517578	30857.722656
1541.884766	30711.6875
1540.251953	30577.966797
1538.621094	30510.152344
1536.988281	30205.048828
1535.353516	29811.289063
1533.720703	29635.013672
1532.085938	29085.472656
1530.453125	29013.449219
1528.818359	29051.572266
1527.183594	28367.941406
1525.546875	27994.941406
1523.912109	27889.580078
1522.275391	27541.289063
1520.640625	27055.644531
1519.003906	26912.357422
1517.365234	26704.990234
1515.728516	26545.041016
1514.091797	26595.8125
1512.453125	26550.414063
1510.814453	26471.462891
1509.175781	26253.724609
1507.537109	26158.089844
1505.896484	26021.324219
1504.257813	25715.394531
1502.617188	25994.878906
1500.976563	25550.412109
1499.335938	25493.109375
1497.693359	25352.052734
1496.052734	25256.742188
1494.410156	24823.464844
1492.767578	24696.337891
1491.125	24796.025391
1489.482422	24338.777344
1487.837891	24324.400391
1486.195313	24071.248047
1484.550781	24376.25
1482.90625	24182.480469
1481.261719	23871.759766
1479.617188	24208.513672
1477.970703	23689.777344
1476.324219	23652.763672
1474.677734	23691.695313
1473.03125	23552.96875
1471.384766	23154.732422
1469.738281	23154.28125
1468.089844	22718.367188
1466.441406	22818.126953
1464.792969	22521.998047
1463.144531	22799.160156
1461.496094	22742.685547
1459.845703	22765.046875
1458.197266	22573.736328
1456.546875	22518.855469
1454.896484	22309.501953
1453.244141	21968.488281
1451.59375	21963.730469
1449.941406	22018.007813
1448.291016	21495.669922
1446.638672	21540.941406
1444.984375	21177.763672
1443.332031	21217.03125
1441.679688	21280.472656
1440.025391	21011.308594
1438.371094	21094.412109
1436.716797	21263.607422
1435.0625	21230.289063
1433.40625	21423.542969
1431.75	21154.630859
1430.095703	20919.044922
1428.439453	20916.011719
1426.78125	20949.197266
1425.125	20562.927734
1423.466797	20771.148438
1421.810547	20495.175781
1420.152344	20380.652344
1418.494141	20539.025391
1416.833984	20513.458984
1415.175781	20412.5625
1413.515625	20477.417969
1411.855469	20468.443359
1410.195313	20881.097656
1408.535156	20993.980469
1406.875	21011.986328
1405.212891	21200.027344
1403.550781	21315.769531
1401.888672	21332.183594
1400.226563	21598.226563
1398.564453	21477.748047
1396.900391	21569.269531
1395.238281	21324.107422
1393.574219	21157.183594
1391.910156	20940.755859
1390.244141	20826.548828
1388.580078	20772.453125
1386.914063	20613.292969
1385.248047	20748.375
1383.582031	20640.304688
1381.916016	20862.332031
1380.25	21070.759766
1378.582031	21129.138672
1376.916016	21257.953125
1375.248047	21280.287109
1373.578125	21137.761719
1371.910156	21209.550781
1370.242188	21345.716797
1368.572266	21004.082031
1366.902344	21146.21875
1365.232422	20888.603516
1363.5625	20898.996094
1361.890625	20955.767578
1360.220703	20915.273438
1358.548828	20856.847656
1356.876953	20831.341797
1355.205078	21012.154297
1353.53125	21059.861328
1351.859375	21330.201172
1350.185547	21501.816406
1348.511719	21733.101563
1346.837891	22032.976563
1345.164063	22476.048828
1343.488281	22720.394531
1341.8125	22946.722656
1340.138672	23356.472656
1338.460938	23503.496094
1336.785156	23769.763672
1335.109375	23816.726563
1333.431641	24522.570313
1331.753906	24122.220703
1330.076172	24483.474609
1328.398438	24525.761719
1326.720703	24378.869141
1325.041016	24354.144531
1323.361328	24648.025391
1321.681641	24660.460938
1320.001953	24857.412109
1318.322266	24860.863281
1316.640625	24367.5
1314.960938	24150.957031
1313.279297	23876.523438
1311.597656	23634.910156
1309.914063	23405.289063
1308.232422	23345.150391
1306.548828	23051.816406
1304.865234	22819.498047
1303.181641	22649.644531
1301.498047	22343.289063
1299.814453	22442.248047
1298.128906	22121.230469
1296.443359	22172.716797
1294.757813	21764.388672
1293.072266	21746.232422
1291.386719	21524.972656
1289.699219	21171.894531
1288.011719	20906.398438
1286.324219	20632.130859
1284.636719	20255.777344
1282.949219	20211.308594
1281.259766	20146.130859
1279.572266	19779.009766
1277.882813	19527.482422
1276.193359	19435.861328
1274.501953	19211.144531
1272.8125	19297.101563
1271.121094	19100.603516
1269.429688	18793.322266
1267.738281	18682.740234
1266.046875	18461.386719
1264.353516	18333.197266
1262.662109	18290.726563
1260.96875	18034.160156
1259.275391	17954.863281
1257.582031	17980.394531
1255.886719	17774.236328
1254.193359	17836.675781
1252.498047	17968.410156
1250.802734	18004.232422
1249.107422	18163.880859
1247.410156	18252.703125
1245.714844	18537.484375
1244.017578	18757.308594
1242.320313	19009.441406
1240.623047	18958.082031
1238.925781	18808.095703
1237.226563	18516.857422
1235.527344	18428.84375
1233.828125	18164.300781
1232.128906	18270.582031
1230.429688	17753.222656
1228.728516	17593.400391
1227.029297	17458.638672
1225.328125	17290.130859
1223.626953	17375.908203
1221.923828	17059.111328
1220.222656	16958.365234
1218.519531	16725.501953
1216.816406	16589.634766
1215.113281	16446.488281
1213.410156	16453.085938
1211.707031	16676.8125
1210.001953	16677.484375
1208.296875	16716.28125
1206.591797	16788.78125
1204.886719	17037.144531
1203.179688	17026.005859
1201.474609	17263.945313
1199.767578	17159.005859
1198.060547	17149.304688
1196.353516	17135.214844
1194.644531	17172.361328
1192.9375	17168.513672
1191.228516	16943.722656
1189.519531	17023.306641
1187.810547	17197.917969
1186.099609	17479.189453
1184.390625	17296.919922
1182.679688	17675.962891
1180.96875	17558.019531
1179.257813	17364.160156
1177.544922	17049.160156
1175.833984	16854.039063
1174.121094	16657.544922
1172.408203	16202.791016
1170.695313	16240.007813
1168.982422	16075.874023
1167.267578	15760.119141
1165.552734	15696.78418
1163.837891	15490.598633
1162.123047	15542.501953
1160.408203	15428.249023
1158.691406	15228.085938
1156.976563	15036.750977
1155.259766	14889.19043
1153.541016	14743.150391
1151.824219	14492.368164
1150.107422	14400.326172
1148.388672	14283.59082
1146.669922	14181.452148
1144.951172	13935.379883
1143.230469	13980.216797
1141.511719	13850.591797
1139.791016	13510.289063
1138.070313	13492.708008
1136.349609	13405.404297
1134.628906	13406.732422
1132.90625	13209.130859
